,manufacturer,model year,country,mean_mpg
0,amc,70,USA,17.5
1,amc,71,USA,18.333333333333332
2,amc,72,USA,16.0
3,amc,73,USA,15.75
4,amc,74,USA,16.333333333333332
5,amc,75,USA,18.0
6,amc,76,USA,18.5
7,amc,78,USA,18.75
8,amc,79,USA,23.799999999999997
9,amc,80,USA,24.3
10,audi,70,Europe,24.0
11,audi,73,Europe,20.0
12,audi,74,Europe,29.0
13,audi,75,Europe,23.0
14,audi,78,Europe,20.3
15,audi,80,Europe,35.349999999999994
16,bmw,70,Europe,26.0
17,bmw,77,Europe,21.5
18,buick,70,USA,14.5
19,buick,72,USA,13.0
20,buick,73,USA,12.5
21,buick,74,USA,13.0
22,buick,75,USA,19.0
23,buick,77,USA,25.25
24,buick,78,USA,19.15
25,buick,79,USA,22.65
26,buick,81,USA,24.5
27,buick,82,USA,25.0
28,cadillac,76,USA,16.5
29,cadillac,79,USA,23.0
30,capri,76,USA,25.0
31,chevrolet,70,USA,14.25
32,chevrolet,71,USA,20.25
33,chevrolet,72,USA,15.333333333333334
34,chevrolet,73,USA,14.833333333333334
35,chevrolet,74,USA,18.666666666666668
36,chevrolet,75,USA,17.25
37,chevrolet,76,USA,21.2
38,chevrolet,77,USA,20.25
39,chevrolet,78,USA,23.233333333333334
40,chevrolet,79,USA,21.666666666666668
41,chevrolet,80,USA,30.05
42,chevrolet,81,USA,23.5
43,chevrolet,82,USA,29.4
44,chrysler,72,USA,13.0
45,chrysler,73,USA,13.0
46,chrysler,77,USA,15.5
47,chrysler,79,USA,18.5
48,chrysler,81,USA,17.6
49,chrysler,82,USA,26.0
50,datsun,70,Japan,27.0
51,datsun,71,Japan,31.0
52,datsun,72,Japan,28.0
53,datsun,73,Japan,22.0
54,datsun,74,Japan,31.5
55,datsun,75,Japan,24.0
56,datsun,76,Japan,32.0
57,datsun,77,Japan,27.75
58,datsun,78,Japan,30.166666666666668
59,datsun,79,Japan,31.8
60,datsun,80,Japan,36.925
61,datsun,81,Japan,31.36666666666667
62,datsun,82,Japan,38.0
63,dodge,70,USA,13.0
64,dodge,71,USA,12.0
65,dodge,72,USA,26.5
66,dodge,73,USA,15.0
67,dodge,74,USA,21.0
68,dodge,76,USA,18.75
69,dodge,77,USA,24.5
70,dodge,78,USA,21.6
71,dodge,79,USA,24.833333333333332
72,dodge,80,USA,23.5
73,dodge,81,USA,25.8
74,dodge,82,USA,32.333333333333336
75,fiat,71,Europe,30.0
76,fiat,73,Europe,27.5
77,fiat,74,Europe,27.0
78,fiat,76,Europe,28.0
79,fiat,79,Europe,37.3
80,ford,70,USA,15.75
81,ford,71,USA,16.0
82,ford,72,USA,17.5
83,ford,73,USA,15.2
84,ford,74,USA,18.666666666666668
85,ford,75,USA,16.6
86,ford,76,USA,19.2
87,ford,77,USA,20.0
88,ford,78,USA,24.875
89,ford,79,USA,18.46666666666667
90,ford,80,USA,26.4
91,ford,81,USA,28.166666666666668
92,ford,82,USA,25.25
93,hi,70,USA,9.0
94,honda,74,Japan,24.0
95,honda,75,Japan,33.0
96,honda,76,Japan,33.0
97,honda,77,Japan,31.5
98,honda,78,Japan,32.8
99,honda,80,Japan,38.5
100,honda,81,Japan,34.400000000000006
101,honda,82,Japan,35.333333333333336
102,mazda,72,Japan,19.0
103,mazda,73,Japan,18.0
104,mazda,77,Japan,21.5
105,mazda,78,Japan,32.8
106,mazda,79,Japan,34.1
107,mazda,80,Japan,33.86666666666667
108,mazda,81,Japan,32.85
109,mazda,82,Japan,34.0
110,mercedes,76,Europe,16.5
111,mercedes,79,Europe,25.4
112,mercedes,80,Europe,30.0
113,mercury,71,USA,23.0
114,mercury,72,USA,11.0
115,mercury,73,USA,16.5
116,mercury,75,USA,15.0
117,mercury,77,USA,15.0
118,mercury,78,USA,20.5
119,mercury,79,USA,18.15
120,mercury,82,USA,36.0
121,nissan,82,Japan,36.0
122,oldsmobile,72,USA,12.0
123,oldsmobile,73,USA,11.5
124,oldsmobile,77,USA,17.0
125,oldsmobile,78,USA,21.85
126,oldsmobile,79,USA,25.35
127,oldsmobile,81,USA,26.6
128,oldsmobile,82,USA,38.0
129,opel,71,Europe,28.0
130,opel,73,Europe,24.0
131,opel,74,Europe,26.0
132,opel,76,Europe,25.0
133,peugeot,70,Europe,25.0
134,peugeot,71,Europe,30.0
135,peugeot,72,Europe,21.0
136,peugeot,75,Europe,23.0
137,peugeot,76,Europe,19.0
138,peugeot,78,Europe,16.2
139,peugeot,79,Europe,27.2
140,peugeot,81,Europe,28.1
141,plymouth,70,USA,17.0
142,plymouth,71,USA,18.666666666666668
143,plymouth,72,USA,14.5
144,plymouth,73,USA,17.0
145,plymouth,74,USA,19.0
146,plymouth,75,USA,17.666666666666668
147,plymouth,76,USA,17.5
148,plymouth,77,USA,22.25
149,plymouth,78,USA,21.85
150,plymouth,79,USA,34.35
151,plymouth,81,USA,32.725
152,plymouth,82,USA,38.0
153,pontiac,70,USA,14.0
154,pontiac,71,USA,15.333333333333334
155,pontiac,72,USA,14.0
156,pontiac,73,USA,16.0
157,pontiac,75,USA,19.5
158,pontiac,76,USA,18.5
159,pontiac,77,USA,20.25
160,pontiac,78,USA,19.2
161,pontiac,79,USA,27.5
162,pontiac,82,USA,29.0
163,renault,72,Europe,26.0
164,renault,76,Europe,27.0
165,renault,77,Europe,36.0
166,saab,70,Europe,25.0
167,saab,73,Europe,24.0
168,saab,75,Europe,25.0
169,saab,78,Europe,21.6
170,subaru,74,Japan,26.0
171,subaru,77,Japan,30.0
172,subaru,80,Japan,33.8
173,subaru,81,Japan,32.3
174,toyota,70,Japan,24.0
175,toyota,71,Japan,28.0
176,toyota,72,Japan,24.666666666666668
177,toyota,73,Japan,20.0
178,toyota,74,Japan,31.5
179,toyota,75,Japan,26.5
180,toyota,76,Japan,23.5
181,toyota,77,Japan,26.0
182,toyota,78,Japan,24.3
183,toyota,80,Japan,33.36666666666667
184,toyota,81,Japan,33.650000000000006
185,toyota,82,Japan,33.0
186,triumph,80,Europe,35.0
187,VW,70,Europe,26.0
188,VW,71,Europe,27.0
189,VW,72,Europe,22.5
190,VW,73,Europe,26.0
191,VW,74,Europe,26.0
192,VW,75,Europe,27.0
193,VW,76,Europe,29.25
194,VW,77,Europe,29.75
195,VW,78,Europe,37.3
196,VW,79,Europe,31.9
197,VW,80,Europe,39.75
198,VW,81,Europe,33.0
199,VW,82,Europe,40.0
200,volvo,72,Europe,18.0
201,volvo,73,Europe,19.0
202,volvo,75,Europe,22.0
203,volvo,76,Europe,20.0
204,volvo,78,Europe,17.0
205,volvo,81,Europe,30.7
